epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,203.888,0.09379,0.9974,1,0.0119,0.00999441,0.00333147,0.00999441,0.00333147,0.00999441,0.00333147,0.00999441,0.00333147
2,341.115,0.04817,0.99805,1,0.00934,0.0195985,0.00653284,0.0195985,0.00653284,0.0195985,0.00653284,0.0195985,0.00653284
3,457.711,0.06925,0.99708,1,0.01893,0.0288066,0.00960221,0.0288066,0.00960221,0.0288066,0.00960221,0.0288066,0.00960221
4,568.515,0.06628,0.99805,1,0.0071,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,679.087,0.03759,0.9974,1,0.01178,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,782.407,0.03296,0.99924,1,0.00442,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,882.255,0.02633,0.99946,1,0.00168,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,982.447,0.02521,0.99989,1,0.00117,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,1083.47,0.02024,0.9987,1,0.00362,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,1182.96,0.02172,0.99935,1,0.0024,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,1283.51,0.01661,0.99946,1,0.00186,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,1383.05,0.01601,0.99913,1,0.00334,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,1484.6,0.01483,0.99946,1,0.00174,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,1585.2,0.01456,0.99935,1,0.00228,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,1686.9,0.0114,0.99935,1,0.00144,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,1787.88,0.01136,0.99924,1,0.00262,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,1890.36,0.01215,0.99978,1,0.00089,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,1990.32,0.01038,0.99989,1,0.00063,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,2091.8,0.01082,0.99978,1,0.00058,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,2193.07,0.01162,0.99968,1,0.00095,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,2294.13,0.00943,0.99978,1,0.00041,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,2395.4,0.00912,0.99989,1,0.00029,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,2496.38,0.01034,0.99968,1,0.00073,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,2597.62,0.0097,0.99989,1,0.00052,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,2698.48,0.00957,1,1,0.00038,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,2799.18,0.00793,0.99968,1,0.00077,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,2899.31,0.00739,0.99989,1,0.00057,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,2998.68,0.00726,0.99989,1,0.00045,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,3099.68,0.00651,0.99989,1,0.00053,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,3198.15,0.00629,0.99989,1,0.00061,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,3293.86,0.00597,0.99978,1,0.00082,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,3390.29,0.00634,0.99978,1,0.00077,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,3488.37,0.00412,0.99989,1,0.00067,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,3584.1,0.00709,0.99989,1,0.00054,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,3682.82,0.00594,0.99989,1,0.0005,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,3779.83,0.00511,0.99989,1,0.00051,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,3879.15,0.00524,0.99989,1,0.00054,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,3973.74,0.00494,0.99989,1,0.00047,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,4070.7,0.00485,0.99989,1,0.00042,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,4170.8,0.00544,0.99989,1,0.00038,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,4300.49,0.00258,0.99989,1,0.00036,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,4398.97,0.00428,0.99989,1,0.00033,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,4501.46,0.00321,0.99989,1,0.0003,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,4601.72,0.0028,0.99989,1,0.00026,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,4703.02,0.00349,0.99989,1,0.00023,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,4802.56,0.00176,0.99989,1,0.00019,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,4903.19,0.00283,0.99989,1,0.00017,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,5003.53,0.00272,0.99989,1,0.00015,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,5104.2,0.00234,0.99989,1,0.00013,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,5204.36,0.00335,0.99989,1,0.00011,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
